index,file_id,img_url,labels,tweet_url,tweet_text,labels_str,file_path,is_hate,original,translated
11872,1106904873637953537,http://pbs.twimg.com/tweet_video_thumb/D1yEG7VW0AYBdHR.jpg,"[0, 0, 0]",https://twitter.com/user/status/1106904873637953537,Also woke up to this nigga asking me out on a date...  But Nope. I don’t date no more,"['NotHate', 'NotHate', 'NotHate']",./img_resized/1106904873637953537.jpg,False,Also woke up to this nigga asking me out on a date...  But Nope. I don’t date no more,또 이 사람한테 데이트 신청 받는 걸로 일어났어... 하지만 아니야. 난 더 이상 데이트 안 해.
381,1108495255819730945,http://pbs.twimg.com/media/D2Iqj05X0AAzksK.jpg,"[0, 0, 0]",https://twitter.com/user/status/1108495255819730945,#RNS REAL NIGGA SHIT,"['NotHate', 'NotHate', 'NotHate']",./img_resized/1108495255819730945.jpg,False,#RNS REAL NIGGA SHIT,#RNS 진짜 새끼들 일
6023,1113681440930136070,http://pbs.twimg.com/media/D3SXXQaX4AEqZgS.jpg,"[0, 0, 0]",https://twitter.com/user/status/1113681440930136070,victim card,"['NotHate', 'NotHate', 'NotHate']",./img_resized/1113681440930136070.jpg,False,victim card,희생자 카드
9702,1105293252662448128,http://pbs.twimg.com/tweet_video_thumb/D1bKWitVAAAa1a8.jpg,"[0, 0, 0]",https://twitter.com/user/status/1105293252662448128,Hold on... what did this nigga just say????,"['NotHate', 'NotHate', 'NotHate']",./img_resized/1105293252662448128.jpg,False,Hold on... what did this nigga just say????,잠깐만... 이 새끼가 방금 뭐라고 했지????
9727,1056801017042472960,http://pbs.twimg.com/tweet_video_thumb/DqqC6RZWsAAr9XD.jpg,"[0, 0, 0]",https://twitter.com/user/status/1056801017042472960,Nah he’s the twat in the hat not Gordon the gopher #divingPrick,"['NotHate', 'NotHate', 'NotHate']",./img_resized/1056801017042472960.jpg,False,Nah he’s the twat in the hat not Gordon the gopher #divingPrick,"아니, 그는 모자 쓴 다투아트야, 고든 더 고퍼가 아니야 #divingPrick"
1785,1105287341873102848,http://pbs.twimg.com/media/D1bE-VUVsAAWs9k.jpg,"[0, 0, 0]",https://twitter.com/user/status/1105287341873102848,my nigga got me dead on a Monday 😂🤣😂🤣😂🤣,"['NotHate', 'NotHate', 'NotHate']",./img_resized/1105287341873102848.jpg,False,my nigga got me dead on a Monday 😂🤣😂🤣😂🤣,내 친구가 월요일에 나를 죽였어 😂🤣😂🤣😂🤣
11543,1114855347435573248,http://pbs.twimg.com/media/D3jDBnTXoAEMnU6.jpg,"[0, 0, 0]",https://twitter.com/user/status/1114855347435573248,Star Actress #AmyAdams goes hillbilly style in her upcoming film!,"['NotHate', 'NotHate', 'NotHate']",./img_resized/1114855347435573248.jpg,False,Star Actress #AmyAdams goes hillbilly style in her upcoming film!,스타 여배우 #AmyAdams가 그녀의 곧 개봉할 영화에서 힐빌리 스타일로 간다!
4975,1109500790874558464,http://pbs.twimg.com/media/D2W9FhpXcAAc1we.jpg,"[0, 0, 0]",https://twitter.com/user/status/1109500790874558464,Nigga what ?,"['NotHate', 'NotHate', 'NotHate']",./img_resized/1109500790874558464.jpg,False,Nigga what ?,니가 뭐라고?
6433,1105425261464600582,http://pbs.twimg.com/media/D1dCaWjX0AU_747.jpg,"[0, 0, 0]",https://twitter.com/user/status/1105425261464600582,Do some research you thick obsessed cunt 😡😡😡,"['NotHate', 'NotHate', 'NotHate']",./img_resized/1105425261464600582.jpg,False,Do some research you thick obsessed cunt 😡😡😡,"조금 조사해봐, 너 두껍고 집착하는 씨발년 😡😡😡"
10024,1054010689235238913,http://pbs.twimg.com/media/DqCZIreUwAEme9P.jpg,"[0, 0, 0]",https://twitter.com/user/status/1054010689235238913,Wembley sale collapse: Opposition to stadium deal bizarre - Greg Dyke,"['NotHate', 'NotHate', 'NotHate']",./img_resized/1054010689235238913.jpg,False,Wembley sale collapse: Opposition to stadium deal bizarre - Greg Dyke,웸블리 판매 붕괴: 스타디움 거래에 대한 반대 괴상해 - 그렉 다이크
